A Dishonourable Death,Hyrri's Bite
A Forest of False Idols,Araku Tiki
A Rift in Time,Timeclasp
A Vision of Ice and Fire,Heatshiver
Agony at Dusk,Dusktoe
Ancient Doom,Doomfletch
Battle Hardened,Iron Heart
Black Devotion,Geofri's Baptism
Blind Faith,The Ignomon
Blinding Light,Eclipse Solaris
Burning Dread,Dreadarc
Cold Blooded Fury,Bloodboil
Cold Greed,Cameria's Maul
Crimson Hues,Goredrill
Dance of Steel,The Dancing Dervish
Dark Instincts,Foxshade
Darktongue's Shriek,Windscream
Dying Cry,Deidbell
End of the Light,Icetomb
Faith Exhumed,Chober Chaber
Fire and Brimstone,Blackgleam
Fire and Ice,Hrimsorrow
From The Void,Blackheart
Greed's Folly,Wondertrap
Heavy Blows,Craghead
Last of the Wildmen,Briskwrap
Mouth of Horrors,Chalice of Horrors
Nature's Resilience,Springleaf
Pleasure and Pain,Crown of Thorns
Power Magnified,Reverberation Rod
Severed Limbs,Limbsplit
Song of the Sekhema,Asenath's Mark
Sun's Punishment,Sundance
The Apex Predator,The Screaming Eagle
The Beginning and the End,Realmshaper
The Bishop's Legacy,Geofri's Crest
The Bloody Flowers Redux,Ezomyte Peak
The Bowstring's Music,Death's Harp
The Dreaded Rhoa,Redbeak
The Fall of an Empire,Quecholli
The Flow of Energy,Shavronne's Pace
The Great Leader of the North,The Magnate
The Great Mind of the North,The Magnate
The Karui Rebellion,Karui Ward
The King and the Brambles,Bramblejack
The King's Path,Kaom's Sign
The Malevolent Witch,Doedre's Tenure
The Mentor,Matua Tupuna
The Misunderstood Queen,Queen's Decree
The Nightmare Awakens,Malachai's Simula
The Queen's Sacrifice,Atziri's Mirror
The Servant's Heart,Storm Cloud
The Silverwood,Silverbranch
The Snuffed Flame,Kaltenhalt
The Storm Spire,The Stormheart
Trapped in the Tower,Fencoil
Winter's Mournful Melodies,Hrimnor's Hymn







